id,JobTitle,Category,CompanyName,Description,Requirements,Responsibility,SalaryRange,Benefits,PostingDate,WorkType,Location
121,Solutions Consultant,IT,AussieCloudPartners,"Guide clients through technical implementation","3+ years solutions consulting/architecture experience","Advise clients on optimal configurations","$90,000-$120,000 + commission","401k matching, flexible remote work",2023/04/20,Full-time, Adelaide
122,Software Developer,Engineering,DevHQ,"Design, implement, integrate and support software","3+ years with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/01,Full-time, Brisbane
123,Back End Developer,Engineering,APIsRUs,"Develop APIs, databases, servers for applications","5+ years with Node.js, Java, Python or Golang","Integrate third party services, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/04/29,Full-time, Canberra
124,Front End Developer,Engineering,OutbackDev,"Develop responsive web apps using React","3+ years experience with HTML, CSS, JavaScript","Implement responsive design, integrate APIs","$80,000-$100,000","Annual conference budget, unlimited PTO",2023/05/15,Full-time, Brisbane
125,Software Developer,Engineering,CodeCorpAU,"Design, develop, and support software solutions","3+ years with Java, C#, Python or similar languages","Write clean, reusable code, fix bugs","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/04/20,Full-time, Sydney
126,Systems Administrator,IT,SysAdminsAU,"Deploy, secure, monitor servers and infrastructure","3+ years managing Linux, Windows Server","Automate tasks, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Perth
127,Network Engineer,IT,AussieNetworks,"Design, implement, and support network solutions","CCNP or CCIE certification, 3+ years experience","Configure routers, switches, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/04/29,Full-time, Sydney
128,Database Administrator,IT,DBAsUnited,"Deploy, secure, monitor, optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance","$80,000-$100,000","401k matching, unlimited PTO",2023/05/15,Full-time, Canberra
129,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, communications","PMP certification, 3+ years experience","Create plans, manage stakeholders","$90,000-$110,000","401k matching, unlimited PTO",2023/04/20,Full-time, Melbourne
130,Data Analyst,Analytics,InsightsCorp,"Collect, clean, analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Perth
131,Business Analyst,Business,BizOpsAU,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/04/29,Full-time, Brisbane
132,iOS Developer,Engineering,WallabyApps,"Design, develop and support iOS applications","3+ years with Swift and iOS SDK","Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/05/15,Full-time, Canberra
133,Android Developer,Engineering,RooTech,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/04/20,Full-time, Sydney
134,UX Researcher,Design,WallabyUX,"Conduct user research through interviews, surveys, testing","2+ years in UX research roles","Recruit participants, analyze findings","$80,000-$100,000","Annual UX research budget, unlimited PTO",2023/05/01,Full-time, Perth
135,Technical Program Manager,Management,TasmanSolutions,"Coordinate engineering resources, manage timelines","3+ years experience program management, PMP preferred","Create and manage project plans","$100,000-$130,000","401k matching, unlimited PTO",2023/04/29,Full-time, Sydney
136,Solutions Consultant,IT,AussieCloudPartners,"Guide clients through technical implementation","3+ years solutions consulting/architecture experience","Advise clients on optimal configurations","$90,000-$120,000 + commission","401k matching, flexible remote work",2023/05/15,Full-time, Brisbane
137,Software Developer,Engineering,DevHQ,"Design, implement, integrate and support software","3+ years with Java, C# or similar languages","Write clean, reusable code, perform code reviews","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/04/20,Full-time, Canberra
138,Back End Developer,Engineering,APIsRUs,"Develop APIs, databases, servers for applications","5+ years with Node.js, Java, Python or Golang","Integrate third party services, optimize performance","$100,000-$130,000","401k matching, unlimited PTO",2023/05/01,Full-time, Perth
139,Front End Developer,Engineering,OutbackDev,"Develop responsive web apps using React","3+ years experience with HTML, CSS, JavaScript","Implement responsive design, integrate APIs","$80,000-$100,000","Annual conference budget, unlimited PTO",2023/04/29,Full-time, Melbourne
140,Software Developer,Engineering,CodeCorpAU,"Design, develop, and support software solutions","3+ years with Java, C#, Python or similar languages","Write clean, reusable code, fix bugs","$90,000-$110,000","Unlimited PTO, annual tech conference budget",2023/05/15,Full-time, Canberra
141,Systems Administrator,IT,SysAdminsAU,"Deploy, secure, monitor servers and infrastructure","3+ years managing Linux, Windows Server","Automate tasks, implement monitoring","$70,000-$90,000","401k matching, unlimited PTO",2023/04/20,Full-time, Sydney
142,Network Engineer,IT,AussieNetworks,"Design, implement, and support network solutions","CCNP or CCIE certification, 3+ years experience","Configure routers, switches, troubleshoot issues","$90,000-$110,000","401k matching, on-call stipend",2023/05/01,Full-time, Melbourne
143,Database Administrator,IT,DBAsUnited,"Deploy, secure, monitor, optimize databases","3+ years managing Oracle, SQL Server, MySQL","Ensure uptime and performance","$80,000-$100,000","401k matching, unlimited PTO",2023/04/29,Full-time, Canberra
144,Project Manager,Management,DeliveriesRUs,"Manage project schedules, resources, communications","PMP certification, 3+ years experience","Create plans, manage stakeholders","$90,000-$110,000","401k matching, unlimited PTO",2023/05/15,Full-time, Perth
145,Data Analyst,Analytics,InsightsCorp,"Collect, clean, analyze data to drive insights","Bachelor's in statistics, mathematics or analytics","Visualize and present findings to stakeholders","$70,000-$90,000","401k matching, unlimited PTO",2023/04/20,Full-time, Adelaide
146,Business Analyst,Business,BizOpsAU,"Document requirements, create user stories, support testing","2+ years experience in business or systems analysis","Facilitate communications, define requirements","$70,000-$90,000","401k matching, unlimited PTO",2023/05/01,Full-time, Perth
147,iOS Developer,Engineering,WallabyApps,"Design, develop and support iOS applications","3+ years with Swift and iOS SDK","Implement new features, ensure responsiveness","$90,000-$110,000","Annual iPhone upgrade, unlimited PTO",2023/04/29,Full-time, Melbourne
148,Android Developer,Engineering,RooTech,"Design, develop, and support Android applications","3+ years experience with Kotlin and Android SDK","Implement new features, publish to Play Store","$90,000-$110,000","Annual Android phone stipend, unlimited PTO",2023/05/15,Full-time, Canberra
149,UX Researcher,Design,WallabyUX,"Conduct user research through interviews, surveys, testing","2+ years in UX research roles","Recruit participants, analyze findings","$80,000-$100,000","Annual UX research budget, unlimited PTO",2023/04/20,Full-time, Melbourne
150,Technical Program Manager,Management,TasmanSolutions,"Coordinate engineering resources, manage timelines","3+ years experience program management, PMP preferred","Create and manage project plans","$100,000-$130,000","401k matching, unlimited PTO",2023/05/01,Full-time, Perth
151,Software Developer,Information Technology,ABC Tech,Design and develop software applications.,"Bachelor's degree in Computer Science or related field", "Write clean and efficient code", "Collaborate with cross-functional teams", "$70,000 - $90,000 per year", "Health insurance", "Flexible work hours",2023/6/1,Full time, Perth
152,Marketing Manager,Marketing,XYZ Company,Develop and implement marketing strategies.,"Bachelor's degree in Marketing or related field", "Create and manage marketing campaigns", "Analyze market trends and competitors", "$90,000 - $120,000 per year", "Paid time off", "401(k) retirement plan",2023/6/2,Full time, Melbourne
153,Graphic Designer,Design,Design Co.,Create visual concepts and designs.,"Bachelor's degree in Graphic Design or related field", "Use graphic design software", "Collaborate with clients and team members", "$50,000 - $70,000 per year", "Flexible work schedule", "Professional development opportunities",2023/6/3,Full time, Sydney
154,Financial Analyst,Finance,Finance Corp,Analyze financial data and provide insights.,"Bachelor's degree in Finance or related field", "Conduct financial forecasting and budgeting", "Prepare financial reports and presentations", "$60,000 - $80,000 per year", "Retirement savings plan", "Paid parental leave",2023/6/4,Full time, Sydney
155,Customer Service Representative,Customer Service,Service Solutions,Assist customers with inquiries and issues.,"High school diploma or equivalent", "Provide excellent customer service", "Resolve customer complaints and escalations", "$40,000 - $50,000 per year", "Health and dental benefits", "Employee discounts",2023/6/5,Full time, Perth
156,Human Resources Manager,Human Resources,HR Solutions,Manage HR functions and policies.,"Bachelor's degree in Human Resources or related field", "Recruit and onboard new employees", "Develop and implement HR programs", "$80,000 - $100,000 per year", "Paid vacation and holidays", "Employee wellness programs",2023/6/6,Full time, Perth
157,Sales Representative,Sales,Global Sales,Identify and acquire new customers.,"Bachelor's degree in Business or related field", "Build and maintain customer relationships", "Meet sales targets and quotas", "$50,000 - $70,000 per year", "Commission-based incentives", "Company car or allowance",2023/6/7,Full time, Sydney
158,Project Manager,Project Management,Project Solutions,Plan and oversee project execution.,"Bachelor's degree in Project Management or related field", "Define project scope and objectives", "Manage project budget and resources", "$70,000 - $90,000 per year", "Flexible work arrangements", "Professional development support",2023/6/8,Full time, Perth
159,Data Analyst,Data Analysis,Data Insights,Collect and analyze data for insights.,"Bachelor's degree in Data Science or related field", "Use data analysis tools and techniques", "Present findings to stakeholders", "$60,000 - $80,000 per year", "Flexible spending accounts", "Gym membership reimbursement",2023/6/9,Full time, Perth
160,Administrative Assistant,Administration,Admin Solutions,Provide administrative support to the team.,"High school diploma or equivalent", "Manage calendars and appointments", "Organize and maintain files and records", "$30,000 - $40,000 per year", "Paid sick leave", "Employee assistance program",2023/6/10,Full time, Sydney
161,Data Analyst,Information Technology,DataTech Solutions,Collect, analyze, and interpret data to provide insights and support decision-making.,"Bachelor's degree in Statistics or related field","Data analysis", "Data visualization", "SQL", "Python",Analyze and interpret complex data sets.,"$60,000 - $80,000 per year","Health insurance", "Flexible work hours",2023/6/1,Full time, Sydney
162,Marketing Manager,Marketing and Advertising,BrandBoost Marketing,Develop and implement marketing strategies to promote products and services.,"Bachelor's degree in Marketing or related field","Digital marketing", "Social media management", "Market research", "Campaign planning",Create and execute marketing campaigns.,"$70,000 - $90,000 per year","Paid time off", "401(k) matching",2023/6/2,Full time,Sydney
163,Graphic Designer,Design and Creative,PixelPerfect Designs,Create visually appealing designs for various marketing materials and digital platforms.,"Proficiency in Adobe Creative Suite","Graphic design", "Typography", "Layout design", "Branding",Design and produce high-quality graphics and illustrations.,"$50,000 - $70,000 per year","Flexible work schedule", "Professional development opportunities",2023/6/3,Full time,Perth
164,HR Manager,Human Resources,TalentConnect Solutions,Oversee all aspects of human resources including recruitment, employee relations, and performance management.,"Bachelor's degree in Human Resources or related field","Recruitment", "Employee relations", "Performance management", "HR policies and procedures",Develop and implement HR strategies and initiatives.,"$80,000 - $100,000 per year","Health and dental insurance", "Employee wellness programs",2023/6/4,Full time,Perth
165,Financial Analyst,Finance and Accounting,ProfitMax Finance,Conduct financial analysis and provide recommendations to improve financial performance.,"Bachelor's degree in Finance or related field","Financial modeling", "Budgeting", "Forecasting", "Financial reporting",Analyze financial data and prepare reports for management.,"$70,000 - $90,000 per year","Retirement savings plan", "Flexible spending accounts",2023/6/5,Full time,Perth
166,Software Developer,Information Technology,CodeGenius Solutions,Design, develop, and test software applications to meet client requirements.,"Bachelor's degree in Computer Science or related field","Programming languages (Java, C++, Python)", "Software development methodologies", "Database management", "Problem-solving skills",Collaborate with cross-functional teams to deliver high-quality software solutions.,"$80,000 - $100,000 per year","Flexible work hours", "Professional development opportunities",2023/6/6,Full time,Perth
167,Sales Representative,Sales and Business Development,GrowthMax Sales,Identify and pursue new business opportunities to achieve sales targets.,"Excellent communication and negotiation skills","Sales prospecting", "Client relationship management", "Sales presentations", "Closing deals",Build and maintain strong relationships with clients.,"$50,000 - $70,000 per year","Commission-based incentives", "Company car allowance",2023/6/7,Full time,Sydney
168,Project Manager,Project Management,ProjectPro Solutions,Plan, execute, and monitor projects to ensure successful delivery within budget and timeline.,"Project management certification (PMP)","Project planning", "Risk management", "Stakeholder communication", "Resource allocation",Lead project teams and coordinate project activities.,"$90,000 - $110,000 per year","Paid time off", "Flexible work arrangements",2023/6/8,Full time,Sydney
169,Customer Service Representative,Customer Service and Support,ServiceFirst Solutions,Provide exceptional customer service and resolve customer inquiries or issues.,"Strong communication and problem-solving skills","Customer relationship management", "Issue resolution", "Product knowledge", "Multitasking abilities",Assist customers with product-related inquiries and provide solutions.,"$40,000 - $60,000 per year","Health and wellness benefits", "Employee discounts",2023/6/9,Full time,Perth
170,Operations Manager,Operations and Logistics,OptiFlow Solutions,Manage day-to-day operations and optimize processes to improve efficiency and productivity.,"Bachelor's degree in Business Administration or related field","Supply chain management", "Inventory control", "Process improvement", "Team leadership",Oversee operational activities and ensure smooth operations.,"$80,000 - $100,000 per year","401(k) retirement plan", "Paid parental leave",2023/6/10,Full time,Perth
171,Software Engineer,Information Technology,ABC Tech,Design and develop software solutions.,"Bachelor's degree in Computer Science", "Proficiency in programming languages such as Java and Python", "Experience with software development methodologies",Collaborate with cross-functional teams to deliver high-quality software.,"$70,000 - $90,000 per year","Health insurance", "Flexible work hours",2023/6/1,Full time,Remote
172,Marketing Manager,Marketing,XYZ Company,Develop and implement marketing strategies.,"Bachelor's degree in Marketing or related field", "Experience in digital marketing and social media management", "Strong analytical and communication skills",Manage marketing campaigns and analyze performance metrics.,"$60,000 - $80,000 per year","Paid vacation", "Professional development opportunities",2023/6/2,Full time, Perth
173,Accountant,Finance,123 Financial Services,Prepare financial statements and reports.,"Bachelor's degree in Accounting or Finance", "Knowledge of accounting principles and regulations", "Proficiency in accounting software",Ensure accuracy and compliance in financial transactions and records.,"$50,000 - $70,000 per year","Retirement savings plan", "Flexible spending accounts",2023/6/3,Full time,Melbourne
174,Graphic Designer,Design,Design Co.,Create visual concepts and designs.,"Bachelor's degree in Graphic Design or related field", "Proficiency in Adobe Creative Suite", "Strong portfolio showcasing design skills",Collaborate with clients to understand design requirements and deliver creative solutions.,"$40,000 - $60,000 per year","Paid holidays", "Employee discounts",2023/6/4,Full time,Perth
175,Customer Service Representative,Customer Service,ABC Services,Assist customers with inquiries and provide solutions.,"High school diploma or equivalent", "Excellent communication and problem-solving skills", "Ability to handle customer complaints and escalations",Resolve customer issues and ensure customer satisfaction.,"$30,000 - $40,000 per year","Paid training", "Opportunity for advancement",2023/6/5,Full time,Remote
176,DevOps Engineer,Information Technology,DevOps Australia,Automate and optimize development and deployment processes.,"DevOps practices"", ""CI/CD"", ""Cloud platforms",Streamline software development and operations.,"$80,000 - $100,000 per year","Life insurance"", ""Remote work options",2023/5/20,Full time,Sydney
177,Software Engineer,Technology,Tech Sydney,Design, develop and maintain high quality software applications.,"Programming languages like Python, Java, C++",Debug code and perform testing and QA.,"$90,000 - $120,000","Health insurance, 401k match",2023/10/14,Full time,Sydney
178,Data Scientist,Data,Analytics Melbourne,Collect, clean and analyze large datasets to uncover insights and trends.,"SQL, Python, R, statistical modeling",Communicate findings and make recommendations to stakeholders.,"$95,000 - $135,000","Paid time off, work from home",2023/10/14,Full time,Melbourne
179,Marketing Manager,Marketing,Digital Marketing Brisbane,Develop and execute marketing campaigns across various channels.,"Digital marketing, campaign management",Measure performance and optimize initiatives.,"$70,000 - $90,000","Flexible work hours, unlimited PTO",2023/10/14,Full time,Brisbane
180,Project Manager,Project Management,Project Perth,Plan and oversee projects ensuring on-time delivery within budget.,"Project planning, budgeting",Lead cross-functional teams to meet objectives.,"$75,000 - $105,000","Professional development stipend, life insurance",2023/10/14,Full time,Perth
181,Data Analyst,Data,Data Corp Adelaide,Collect, clean and analyze data to find trends and insights.,"SQL, Excel, data visualization",Present findings to stakeholders across the business.,"$65,000 - $85,000","Flexible work schedule, WFH options",2023/10/14,Full time,Newcastle
182,Web Developer,Technology,AusTech Gold Coast,Design, build and maintain websites and web applications.,"HTML, CSS, JavaScript",Debug issues and implement new features and functionality,"$70,000 - $90,000","Unlimited PTO, annual bonus",2023/10/14,Full time,"Gold Coast"
183,Accountant,Finance,Money Matters Canberra,Prepare financial statements, analyze data, ensure compliance with regulations.,"Accounting principles, financial regulations",Advise management on financial strategy and budgeting.,"$60,000 - $80,000","401k matching, healthcare",2023/10/14,Full time,Canberra
184,Registered Nurse,Healthcare,AusHealth Alice Springs,Provide patient care, administer medications, assist doctors.,"RN license, healthcare experience",Maintain patient records, assess patient condition.,"$65,000 - $75,000","Loan repayment program, tuition reimbursement",2023/10/14,Full time,Newcastle
185,Customer Service Rep,Customer Service,AusSupport Newcastle,Handle inbound calls and queries, provide excellent customer service.,"Communication skills, customer focus",Resolve issues and escalate when needed.,"$45,000 - $55,000","Paid training, employee discount",2023/10/14,Full time,Newcastle
186,Sales Executive,Sales,AusSales Sydney,Prospect potential clients, build relationships, close deals.,"Persuasion, presentation skills",Achieve monthly sales quota and targets.,"$55,000 base + commission","Stock options, expense account",2023/10/14,Full time,Sydney
187,Teacher,Education,AusSchools Cairns,Develop curriculum and lesson plans, educate and engage students.,"Teaching certificate, classroom mgmt",Motivate and support student learning and growth.,"$55,000 - $65,000","Pension contribution, healthcare",2023/10/14,Full time,Cairns
188,Marketing Assistant,Marketing,AusMarketing Melbourne,Support marketing team with campaigns and initiatives.,"Communication, writing, creativity",Assist with social media, email marketing, events.,"$40,000 - $50,000","Professional development stipend",2023/10/14,Full time,Melbourne
189,Office Manager,Administration,AusAdmin Canberra,Manage office operations, oversee admin staff.,"Organization, communication skills",Ensure smooth office function and efficiency.,"$50,000 - $60,000","Flexible work hours, WFH options",2023/10/14,Full time,Canberra
190,Business Analyst,Business,AusBusiness Brisbane,Document processes, analyze data, make recommendations.,"Analytics, problem-solving",Create solutions to improve operations and efficiency,"$70,000 - $90,000","Professional development fund, healthcare",2023/10/14,Full time,Brisbane
191,Graphic Designer,Design,AusDesign Sydney,Design visual concepts for campaigns, branding, products.,"Creativity, design skills",Collaborate with teams to design high quality deliverables.,"$55,000 - $75,000","Creative freedom, annual bonus",2023/10/14,Full time,Sydney
192,Recruiter,HR,AusHR Perth,Source, screen and interview candidates, manage hiring process.,"Sourcing, interviewing, HR systems",Build recruiting strategy, foster employer brand.,"$50,000 - $70,000","Unlimited PTO, WFH options",2023/10/14,Full time,Perth
193,Java Developer,Technology,DevAus Sydney,Develop scalable Java applications, write clean code.,"Java, OOP, SQL",Debug issues, implement new features and improvements.,"$90,000 - $120,000","Stock options, discounted gym",2023/10/14,Full time,Sydney
194, Mechanic, Automotive, AutoFix Adelaide, Diagnose and repair vehicles, perform maintenance.,"Auto repair experience, diagnostic skills",Keep equipment operating safely and efficiently.,"$45,000 - $60,000","Tool stipend, employee discount",2023/10/14,Full time,Adelaide
195, Civil Engineer, Engineering, EngiCorp Melbourne, Design infrastructure like roads, bridges and utilities.,"Engineering principles, AutoCAD",Ensure safety and compliance with regulations.,"$70,000 - $90,000","License reimbursement, healthcare",2023/10/14,Full time,Melbourne
196, Executive Assistant, Administrative, AusAdmin Canberra, Provide administrative support to executives.,"Scheduling, written communication",Organize meetings, manage calendars and travel.,"$50,000 - $65,000","Paid time off, work from home",2023/10/14,Full time,Canberra
197, Security Engineer, Technology, CyberSecure Sydney, Implement and monitor security measures for systems and networks.,"Network security, ethical hacking",Identify threats and vulnerabilities.,"$90,000 - $110,000","Annual bonus, tuition reimbursement",2023/10/14,Full time,Sydney
198, Account Executive, Sales, BigDeals Brisbane, Build relationships with clients, manage sales process from start to finish.,"Persuasion, account management",Achieve sales targets and grow book of business.,"$65,000 base + commission","Company car, country club membership",2023/10/14,Full time,Brisbane
199, Marketing Manager, Marketing, BrandAid Perth, Develop and execute marketing campaigns across channels.,"Campaign management, budgeting",Drive brand awareness and lead generation.,"$80,000 - $100,000","Flexible work arrangements, unlimited PTO",2023/10/14,Full time,Perth
200, QA Tester, Technology, TestRight Melbourne, Execute test cases, identify software bugs and defects.,"Testing methodologies, SQL",Document results, raise issues to developers.,"$65,000 - $75,000","Work from home, professional development fund",2023/10/14,Full time,Melbourne
201,Network Engineer,Technology,NetOps Brisbane,Install, configure and maintain network infrastructure.,"Routing, switching, firewalls",Ensure network uptime and performance.,"$75,000 - $95,000","Pension contribution, annual bonus",2023/10/14,Full time,Brisbane
202,Presales Engineer,Sales,Cloudify Sydney,Provide technical support for sales team, demo products.,"Public speaking, technical aptitude",Help close deals by showcasing technology capabilities.,"$90,000 - $110,000","Stock options, expense account",2023/10/14,Full time,Sydney
203,Technical Writer,Technology,DocExperts Melbourne,Create documentation for software products and services.,"Technical writing, documentation tools",Simplify complex subjects for end users.,"$65,000 - $85,000","Work from home, unlimited PTO",2023/10/14,Full time,Melbourne
204,UX Designer,Design,UXCorp Perth,Conduct user research, prototype designs.,"User empathy, prototyping",Craft intuitive user experiences and journeys.,"$80,000 - $100,000","Annual learning stipend, equity",2023/10/14,Full time,Perth
205,Data Engineer,Data,Data Systems Canberra,Build and maintain data infrastructure, pipelines.,"AWS, Python, SQL",Ensure optimal data flows and accessibility.,"$90,000 - $120,000","401k matching, fitness reimbursement",2023/10/14,Full time,Canberra
206,Project Coordinator,Project Management,DeliverIt Gold Coast,Manage project schedules, track progress.,"Scheduling, budgeting",Ensure on-time, on-budget delivery.,"$55,000 - $70,000","Professional development fund, WFH",2023/10/14,Full time,Gold Coast
207,Java Developer,Technology,CodeRocket Adelaide,Develop robust Java applications.,"Java, Spring Boot, microservices",Write clean, maintainable code.,"$80,000 - $100,000","Unlimited PTO, annual learning fund",2023/10/14,Full time,Adelaide
208,DevOps Engineer,Technology,CloudCover Sydney,Implement CI/CD pipelines, automate processes.,"AWS, Ansible, Jenkins",Ensure optimized deployment workflows.,"$120,000 - $150,000","Equity options, full benefits",2023/10/14,Full time,Sydney
209,HR Business Partner,HR,PeopleFirst Brisbane,Advise on HR initiatives, talent management.,"Employment law, coaching",Build programs to attract and retain talent.,"$80,000 - $100,000","Flexible work, yearly bonus",2023/10/14,Full time,Brisbane
210,Supply Chain Analyst,Operations,OptimizeIt Melbourne,Analyze supply chain data, identify opportunities.,"Data analysis, optimization",Improve efficiency and reduce costs.,"$70,000 - $90,000","401k match, discounted transit",2023/10/14,Full time,Melbourne
211,iOS Developer,Technology,AppsRUs Sydney,Build innovative iOS applications.,"Swift, Xcode, REST APIs",Write clean, performance code.,"$100,000 - $130,000","Unlimited PTO, equity compensation",2023/10/14,Full time,Sydney
212,Business Development,Sales,BizGrow Canberra,Prospect potential clients and generate leads.,"Lead generation, sales processes",Build relationships and close deals.,"$65,000 base + commission","Expense account, company equity",2023/10/14,Full time,Canberra
213,Copywriter,Marketing,Wordsmith Adelaide,Craft compelling copy for campaigns, websites.,"Creative writing, editing",Collaborate with creative teams.,"$65,000 - $80,000","Annual learning budget, work from home",2023/10/14,Full time,Adelaide
214,Cloud Architect,Technology,StackExpert Perth,Design scalable cloud infrastructure and applications.,"AWS, GCP, Azure",Ensure security, reliability and efficiency.,"$140,000 - $160,000","Signing bonus, full benefits",2023/10/14,Full time,Perth
215,Product Manager,Product,ProdCo Brisbane,Define product strategy and roadmap.,"Product development, research",Build features that delight customers.,"$100,000 - $130,000","Equity compensation, unlimited PTO",2023/10/14,Full time,Brisbane
216,Financial Analyst,Finance,MoneyWise Sydney,Prepare financial reports, analyze data.,"Excel, financial modeling",Identify trends, risks and opportunities.,"$70,000 - $90,000","401k matching, tuition reimbursement",2023/10/14,Full time,Sydney
217,Software Engineer,Technology,CodeSmart Melbourne,Design, develop and maintain software applications.,"C#, .NET Core, SQL Server",Write clean, scalable code.,"$90,000 - $120,000","Unlimited PTO, full benefits",2023/10/14,Full time,Melbourne
218,Product Designer,Design,UXLabs Sydney,Conduct user research, design UIs.,"User empathy, design systems",Craft intuitive product experiences.,"$90,000 - $110,000","Annual learning budget, company equity",2023/10/14,Full time,Sydney
219,Data Scientist,Data,Insights Inc Canberra,Mine data to uncover insights.,"Python, R, SQL",Communicate findings and make recommendations.,"$90,000 - $120,000","401k matching, full healthcare",2023/10/14,Full time,Canberra
220,Solutions Architect,Technology,IT Strategies Adelaide,Design technology solutions.,"Cloud infrastructure, integration",Bridge business goals and technical capabilities.,"$130,000 - $160,000","Signing bonus, annual bonus",2023/10/14,Full time,Adelaide
221,Marketing Manager,Marketing,Growth Rocket Perth,Develop and execute marketing campaigns.,"Digital marketing, analytics",Measure performance and optimize initiatives.,"$90,000 - $120,000","Unlimited PTO, annual learning fund",2023/10/14,Full time,Perth
222,iOS Developer,Technology,SwiftApps Brisbane,Develop high quality iOS applications.,"Swift, Xcode, Auto Layout",Implement new features and optimizations.,"$110,000 - $140,000","Company equity, full benefits",2023/10/14,Full time,Brisbane
223,Technical Program Manager,Management,ReleaseRight Sydney,Manage technical projects end-to-end.,"Agile, JIRA, program mgmt",Ensure on-time, on-budget delivery.,"$120,000 - $150,000","Annual retention bonus, unlimited PTO",2023/10/14,Full time,Sydney
224,Data Engineer,Data,Data Systems Melbourne,Develop data infrastructure, pipelines.,"Spark, Airflow, SQL",Ensure optimal data flows and structures.,"$100,000 - $130,000","401k match, annual learning fund",2023/10/14,Full time,Melbourne
225,QA Engineer,Technology,TestRight Adelaide,Develop test cases, execute test plans.,"Software QA, automation",Identify defects and raise issues.,"$70,000 - $90,000","Annual bonus, unlimited PTO",2023/10/14,Full time,Adelaide
226,Frontend Engineer,Technology,WebRings Sydney,Develop responsive web applications.,"React, JavaScript, HTML/CSS",Implement pixel-perfect UIs.,"$90,000 - $120,000","Company equity, unlimited PTO",2023/10/14,Full time,Sydney
227,Android Developer,Technology,AppSpark Brisbane,Build high quality Android applications.,"Java, Kotlin, REST APIs",Write clean, maintainable code.,"$100,000 - $130,000","Annual learning fund, full benefits",2023/10/14,Full time,Brisbane
228,Security Engineer,Technology,LockOut Perth,Implement security controls and measures.,"Network security, ethical hacking",Identify vulnerabilities and threats.,"$95,000 - $125,000","Signing bonus, work from home",2023/10/14,Full time,Perth
229,Sales Engineer,Sales,DealMaster Melbourne,Provide technical expertise to sales team.,"Public speaking, client relationships",Help close deals with technical knowledge.,"$80,000 base + commission","Company car, expense account",2023/10/14,Full time,Melbourne
230,Scrum Master,Project Management,AgileStars Canberra,Facilitate Agile processes and ceremonies.,"Agile, servant leadership",Guide teams through iterative development.,"$90,000 - $110,000","Annual learning fund, full benefits",2023/10/14,Full time,Canberra
231,DevOps Engineer,Technology,AutoDeploy Adelaide,Implement CI/CD pipelines, automate processes.,"Jenkins, Kubernetes, Ansible",Ensure optimized deployment workflows.,"$115,000 - $145,000","Company equity, unlimited PTO",2023/10/14,Full time,Adelaide
232,UX Researcher,Design,HumanizeIt Sydney,Conduct user research, analyze data.,"User interviews, empathy",Uncover insights to guide designs.,"$80,000 - $100,000","Annual conference budget, WFH",2023/10/14,Full time,Sydney
233,Data Analyst,Data,MetricsCorp Brisbane,Collect, clean and analyze data.,"SQL, Python, data visualization",Communicate insights to stakeholders.,"$70,000 - $90,000","401k matching, discounted transit",2023/10/14,Full time,Brisbane
234,Recruiter,HR,DreamTeam Perth,Source, screen and interview top talent.,"Sourcing, interviewing, ATS",Manage end-to-end hiring process.,"$60,000 - $80,000","Unlimited PTO, annual bonus",2023/10/14,Full time,Perth
235,Marketing Manager,Marketing,BrandNinja Melbourne,Develop and execute marketing campaigns.,"Digital marketing, budget management",Measure performance across channels.,"$85,000 - $105,000","Annual learning fund, work from home",2023/10/14,Full time,Melbourne
236,Software Engineer,Technology,BitsNBots Canberra,Design, develop and maintain software applications.,"C#, .NET, SQL Server",Write clean, reusable code.,"$95,000 - $125,000","401k matching, unlimited PTO",2023/10/14,Full time,Canberra
237,Network Engineer,Technology,PacketPushers Adelaide,Install, configure and maintain network infrastructure.,"TCP/IP, firewalls, VPNs",Ensure optimal uptime and performance.,"$80,000 - $100,000","Annual conference budget, work from home",2023/10/14,Full time,Adelaide
238,Product Manager,Product,Roadmap Sydney,Define product vision, gather requirements.,"Product development, leadership",Manage roadmap, features and releases.,"$120,000 - $150,000","Company equity, annual bonus",2023/10/14,Full time,Sydney
